,Prompt,Activation Location,Activation Name,Magnitude
0,Bush did 9/11 because,5,blocks.5.hook_resid_pre,94.35738
1,Bush did 9/11 because,5,blocks.5.hook_resid_pre,75.80785
2,Bush did 9/11 because,5,blocks.5.hook_resid_pre,69.55488
3,Bush did 9/11 because,5,blocks.5.hook_resid_pre,60.344254
4,Bush did 9/11 because,5,blocks.5.hook_resid_pre,74.66895
5,Bush did 9/11 because,5,blocks.5.hook_resid_pre,63.57027
6,Barack Obama was born in,5,blocks.5.hook_resid_pre,91.48946
7,Barack Obama was born in,5,blocks.5.hook_resid_pre,70.886635
8,Barack Obama was born in,5,blocks.5.hook_resid_pre,80.5018
9,Barack Obama was born in,5,blocks.5.hook_resid_pre,68.774475
10,Barack Obama was born in,5,blocks.5.hook_resid_pre,73.06759
11,Barack Obama was born in,5,blocks.5.hook_resid_pre,66.86135
12,Shrek starts off in a swamp,5,blocks.5.hook_resid_pre,99.78543
13,Shrek starts off in a swamp,5,blocks.5.hook_resid_pre,89.51284
14,Shrek starts off in a swamp,5,blocks.5.hook_resid_pre,72.88567
15,Shrek starts off in a swamp,5,blocks.5.hook_resid_pre,67.05154
16,Shrek starts off in a swamp,5,blocks.5.hook_resid_pre,67.1371
17,Shrek starts off in a swamp,5,blocks.5.hook_resid_pre,67.64874
18,Shrek starts off in a swamp,5,blocks.5.hook_resid_pre,90.90523
19,I went up to my friend and said,5,blocks.5.hook_resid_pre,84.22258
20,I went up to my friend and said,5,blocks.5.hook_resid_pre,77.9825
21,I went up to my friend and said,5,blocks.5.hook_resid_pre,67.55208
22,I went up to my friend and said,5,blocks.5.hook_resid_pre,67.245445
23,I went up to my friend and said,5,blocks.5.hook_resid_pre,70.062904
24,I went up to my friend and said,5,blocks.5.hook_resid_pre,72.89066
25,I went up to my friend and said,5,blocks.5.hook_resid_pre,64.672455
26,I went up to my friend and said,5,blocks.5.hook_resid_pre,59.111313
27,I talk about weddings constantly,5,blocks.5.hook_resid_pre,84.22258
28,I talk about weddings constantly,5,blocks.5.hook_resid_pre,73.14414
29,I talk about weddings constantly,5,blocks.5.hook_resid_pre,68.67732
30,I talk about weddings constantly,5,blocks.5.hook_resid_pre,92.583916
31,I talk about weddings constantly,5,blocks.5.hook_resid_pre,80.4605
32,I bring up weddings in every situation,5,blocks.5.hook_resid_pre,84.22258
33,I bring up weddings in every situation,5,blocks.5.hook_resid_pre,78.47369
34,I bring up weddings in every situation,5,blocks.5.hook_resid_pre,67.74434
35,I bring up weddings in every situation,5,blocks.5.hook_resid_pre,91.73288
36,I bring up weddings in every situation,5,blocks.5.hook_resid_pre,69.93151
37,I bring up weddings in every situation,5,blocks.5.hook_resid_pre,71.21964
38,I bring up weddings in every situation,5,blocks.5.hook_resid_pre,72.38695
39,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,84.22257
40,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,85.1267
41,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,72.13674
42,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,68.42763
43,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,92.142944
44,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,70.7215
45,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,75.37309
46,"I hate talking about weddings. Instead, let's talk about a totally different topic, like the impact of NGDP on the price of gold.",5,blocks.5.hook_resid_pre,65.18593
