,Prompt,Activation Location,Activation Name,Magnitude,Token,LogMagnitude
0,,0,blocks.0.hook_resid_pre,tensor(4.0790),<|endoftext|>,tensor(0.6106)
1,,0,blocks.0.hook_resid_pre,tensor(1.8876),M,tensor(0.2759)
2,,0,blocks.0.hook_resid_pre,tensor(2.4522),ATS,tensor(0.3896)
3,,0,blocks.0.hook_resid_pre,tensor(1.3592), is,tensor(0.1333)
4,,0,blocks.0.hook_resid_pre,tensor(1.6204), really,tensor(0.2096)
5,,0,blocks.0.hook_resid_pre,tensor(1.8749), cool,tensor(0.2730)
6,,1,blocks.1.hook_resid_pre,tensor(40.9975),<|endoftext|>,tensor(1.6128)
7,,1,blocks.1.hook_resid_pre,tensor(30.1477),M,tensor(1.4793)
8,,1,blocks.1.hook_resid_pre,tensor(34.8594),ATS,tensor(1.5423)
9,,1,blocks.1.hook_resid_pre,tensor(30.5050), is,tensor(1.4844)
10,,1,blocks.1.hook_resid_pre,tensor(27.4180), really,tensor(1.4380)
11,,1,blocks.1.hook_resid_pre,tensor(28.5002), cool,tensor(1.4548)
12,,2,blocks.2.hook_resid_pre,tensor(67.1581),<|endoftext|>,tensor(1.8271)
13,,2,blocks.2.hook_resid_pre,tensor(52.9731),M,tensor(1.7241)
14,,2,blocks.2.hook_resid_pre,tensor(51.8999),ATS,tensor(1.7152)
15,,2,blocks.2.hook_resid_pre,tensor(50.1653), is,tensor(1.7004)
16,,2,blocks.2.hook_resid_pre,tensor(46.2175), really,tensor(1.6648)
17,,2,blocks.2.hook_resid_pre,tensor(47.0719), cool,tensor(1.6728)
18,,3,blocks.3.hook_resid_pre,tensor(90.1237),<|endoftext|>,tensor(1.9548)
19,,3,blocks.3.hook_resid_pre,tensor(68.8968),M,tensor(1.8382)
20,,3,blocks.3.hook_resid_pre,tensor(62.2001),ATS,tensor(1.7938)
21,,3,blocks.3.hook_resid_pre,tensor(61.1555), is,tensor(1.7864)
22,,3,blocks.3.hook_resid_pre,tensor(57.4630), really,tensor(1.7594)
23,,3,blocks.3.hook_resid_pre,tensor(58.7873), cool,tensor(1.7693)
24,,4,blocks.4.hook_resid_pre,tensor(100.9165),<|endoftext|>,tensor(2.0040)
25,,4,blocks.4.hook_resid_pre,tensor(79.3974),M,tensor(1.8998)
26,,4,blocks.4.hook_resid_pre,tensor(69.2894),ATS,tensor(1.8407)
27,,4,blocks.4.hook_resid_pre,tensor(68.6451), is,tensor(1.8366)
28,,4,blocks.4.hook_resid_pre,tensor(66.5788), really,tensor(1.8233)
29,,4,blocks.4.hook_resid_pre,tensor(69.2573), cool,tensor(1.8405)
30,,5,blocks.5.hook_resid_pre,tensor(108.9692),<|endoftext|>,tensor(2.0373)
31,,5,blocks.5.hook_resid_pre,tensor(87.5621),M,tensor(1.9423)
32,,5,blocks.5.hook_resid_pre,tensor(72.6662),ATS,tensor(1.8613)
33,,5,blocks.5.hook_resid_pre,tensor(71.0418), is,tensor(1.8515)
34,,5,blocks.5.hook_resid_pre,tensor(71.5970), really,tensor(1.8549)
35,,5,blocks.5.hook_resid_pre,tensor(75.5082), cool,tensor(1.8780)
36,,6,blocks.6.hook_resid_pre,tensor(115.5258),<|endoftext|>,tensor(2.0627)
37,,6,blocks.6.hook_resid_pre,tensor(94.4395),M,tensor(1.9752)
38,,6,blocks.6.hook_resid_pre,tensor(77.5420),ATS,tensor(1.8895)
39,,6,blocks.6.hook_resid_pre,tensor(72.8916), is,tensor(1.8627)
40,,6,blocks.6.hook_resid_pre,tensor(76.0372), really,tensor(1.8810)
41,,6,blocks.6.hook_resid_pre,tensor(79.2307), cool,tensor(1.8989)
42,,7,blocks.7.hook_resid_pre,tensor(146.7827),<|endoftext|>,tensor(2.1667)
43,,7,blocks.7.hook_resid_pre,tensor(99.3498),M,tensor(1.9972)
44,,7,blocks.7.hook_resid_pre,tensor(80.7937),ATS,tensor(1.9074)
45,,7,blocks.7.hook_resid_pre,tensor(74.9441), is,tensor(1.8747)
46,,7,blocks.7.hook_resid_pre,tensor(78.6348), really,tensor(1.8956)
47,,7,blocks.7.hook_resid_pre,tensor(83.9404), cool,tensor(1.9240)
48,,8,blocks.8.hook_resid_pre,tensor(490.8040),<|endoftext|>,tensor(2.6909)
49,,8,blocks.8.hook_resid_pre,tensor(104.0598),M,tensor(2.0173)
50,,8,blocks.8.hook_resid_pre,tensor(85.1425),ATS,tensor(1.9301)
51,,8,blocks.8.hook_resid_pre,tensor(75.7552), is,tensor(1.8794)
52,,8,blocks.8.hook_resid_pre,tensor(81.8969), really,tensor(1.9133)
53,,8,blocks.8.hook_resid_pre,tensor(88.2108), cool,tensor(1.9455)
54,,9,blocks.9.hook_resid_pre,tensor(1122.5874),<|endoftext|>,tensor(3.0502)
55,,9,blocks.9.hook_resid_pre,tensor(110.6027),M,tensor(2.0438)
56,,9,blocks.9.hook_resid_pre,tensor(88.4075),ATS,tensor(1.9465)
57,,9,blocks.9.hook_resid_pre,tensor(79.1757), is,tensor(1.8986)
58,,9,blocks.9.hook_resid_pre,tensor(84.5315), really,tensor(1.9270)
59,,9,blocks.9.hook_resid_pre,tensor(91.4892), cool,tensor(1.9614)
60,,10,blocks.10.hook_resid_pre,tensor(1663.2812),<|endoftext|>,tensor(3.2210)
61,,10,blocks.10.hook_resid_pre,tensor(118.5624),M,tensor(2.0739)
62,,10,blocks.10.hook_resid_pre,tensor(91.2390),ATS,tensor(1.9602)
63,,10,blocks.10.hook_resid_pre,tensor(82.8280), is,tensor(1.9182)
64,,10,blocks.10.hook_resid_pre,tensor(87.8494), really,tensor(1.9437)
65,,10,blocks.10.hook_resid_pre,tensor(95.8818), cool,tensor(1.9817)
66,,11,blocks.11.hook_resid_pre,tensor(2140.0588),<|endoftext|>,tensor(3.3304)
67,,11,blocks.11.hook_resid_pre,tensor(125.9757),M,tensor(2.1003)
68,,11,blocks.11.hook_resid_pre,tensor(95.6701),ATS,tensor(1.9808)
69,,11,blocks.11.hook_resid_pre,tensor(85.6652), is,tensor(1.9328)
70,,11,blocks.11.hook_resid_pre,tensor(90.2129), really,tensor(1.9553)
71,,11,blocks.11.hook_resid_pre,tensor(97.7635), cool,tensor(1.9902)
72,,12,blocks.12.hook_resid_pre,tensor(2564.9231),<|endoftext|>,tensor(3.4091)
73,,12,blocks.12.hook_resid_pre,tensor(134.3883),M,tensor(2.1284)
74,,12,blocks.12.hook_resid_pre,tensor(97.8777),ATS,tensor(1.9907)
75,,12,blocks.12.hook_resid_pre,tensor(88.5101), is,tensor(1.9470)
76,,12,blocks.12.hook_resid_pre,tensor(94.3780), really,tensor(1.9749)
77,,12,blocks.12.hook_resid_pre,tensor(100.2097), cool,tensor(2.0009)
78,,13,blocks.13.hook_resid_pre,tensor(2906.9026),<|endoftext|>,tensor(3.4634)
79,,13,blocks.13.hook_resid_pre,tensor(140.7421),M,tensor(2.1484)
80,,13,blocks.13.hook_resid_pre,tensor(101.4789),ATS,tensor(2.0064)
81,,13,blocks.13.hook_resid_pre,tensor(91.8718), is,tensor(1.9632)
82,,13,blocks.13.hook_resid_pre,tensor(97.2877), really,tensor(1.9881)
83,,13,blocks.13.hook_resid_pre,tensor(104.6393), cool,tensor(2.0197)
84,,14,blocks.14.hook_resid_pre,tensor(3176.3499),<|endoftext|>,tensor(3.5019)
85,,14,blocks.14.hook_resid_pre,tensor(145.6047),M,tensor(2.1632)
86,,14,blocks.14.hook_resid_pre,tensor(106.4586),ATS,tensor(2.0272)
87,,14,blocks.14.hook_resid_pre,tensor(94.5624), is,tensor(1.9757)
88,,14,blocks.14.hook_resid_pre,tensor(101.0595), really,tensor(2.0046)
89,,14,blocks.14.hook_resid_pre,tensor(108.2206), cool,tensor(2.0343)
90,,15,blocks.15.hook_resid_pre,tensor(3428.8069),<|endoftext|>,tensor(3.5351)
91,,15,blocks.15.hook_resid_pre,tensor(149.4330),M,tensor(2.1744)
92,,15,blocks.15.hook_resid_pre,tensor(109.3152),ATS,tensor(2.0387)
93,,15,blocks.15.hook_resid_pre,tensor(95.7281), is,tensor(1.9810)
94,,15,blocks.15.hook_resid_pre,tensor(103.2503), really,tensor(2.0139)
95,,15,blocks.15.hook_resid_pre,tensor(110.2550), cool,tensor(2.0424)
96,,16,blocks.16.hook_resid_pre,tensor(3624.6814),<|endoftext|>,tensor(3.5593)
97,,16,blocks.16.hook_resid_pre,tensor(155.5885),M,tensor(2.1920)
98,,16,blocks.16.hook_resid_pre,tensor(116.7926),ATS,tensor(2.0674)
99,,16,blocks.16.hook_resid_pre,tensor(100.8073), is,tensor(2.0035)
100,,16,blocks.16.hook_resid_pre,tensor(108.1332), really,tensor(2.0340)
101,,16,blocks.16.hook_resid_pre,tensor(113.0675), cool,tensor(2.0533)
102,,17,blocks.17.hook_resid_pre,tensor(3768.4707),<|endoftext|>,tensor(3.5762)
103,,17,blocks.17.hook_resid_pre,tensor(159.0599),M,tensor(2.2016)
104,,17,blocks.17.hook_resid_pre,tensor(121.0647),ATS,tensor(2.0830)
105,,17,blocks.17.hook_resid_pre,tensor(104.3272), is,tensor(2.0184)
106,,17,blocks.17.hook_resid_pre,tensor(110.4057), really,tensor(2.0430)
107,,17,blocks.17.hook_resid_pre,tensor(114.8232), cool,tensor(2.0600)
108,,18,blocks.18.hook_resid_pre,tensor(3875.9783),<|endoftext|>,tensor(3.5884)
109,,18,blocks.18.hook_resid_pre,tensor(162.9920),M,tensor(2.2122)
110,,18,blocks.18.hook_resid_pre,tensor(127.2113),ATS,tensor(2.1045)
111,,18,blocks.18.hook_resid_pre,tensor(107.6983), is,tensor(2.0322)
112,,18,blocks.18.hook_resid_pre,tensor(115.7812), really,tensor(2.0636)
113,,18,blocks.18.hook_resid_pre,tensor(119.1622), cool,tensor(2.0761)
114,,19,blocks.19.hook_resid_pre,tensor(3961.0435),<|endoftext|>,tensor(3.5978)
115,,19,blocks.19.hook_resid_pre,tensor(166.3294),M,tensor(2.2210)
116,,19,blocks.19.hook_resid_pre,tensor(130.9912),ATS,tensor(2.1172)
117,,19,blocks.19.hook_resid_pre,tensor(113.7294), is,tensor(2.0559)
118,,19,blocks.19.hook_resid_pre,tensor(121.9814), really,tensor(2.0863)
119,,19,blocks.19.hook_resid_pre,tensor(125.4773), cool,tensor(2.0986)
120,,20,blocks.20.hook_resid_pre,tensor(4021.7793),<|endoftext|>,tensor(3.6044)
121,,20,blocks.20.hook_resid_pre,tensor(170.3133),M,tensor(2.2312)
122,,20,blocks.20.hook_resid_pre,tensor(133.9469),ATS,tensor(2.1269)
123,,20,blocks.20.hook_resid_pre,tensor(119.1963), is,tensor(2.0763)
124,,20,blocks.20.hook_resid_pre,tensor(127.4925), really,tensor(2.1055)
125,,20,blocks.20.hook_resid_pre,tensor(134.3427), cool,tensor(2.1282)
126,,21,blocks.21.hook_resid_pre,tensor(4055.5881),<|endoftext|>,tensor(3.6081)
127,,21,blocks.21.hook_resid_pre,tensor(174.9221),M,tensor(2.2428)
128,,21,blocks.21.hook_resid_pre,tensor(143.1413),ATS,tensor(2.1558)
129,,21,blocks.21.hook_resid_pre,tensor(124.2714), is,tensor(2.0944)
130,,21,blocks.21.hook_resid_pre,tensor(133.5210), really,tensor(2.1255)
131,,21,blocks.21.hook_resid_pre,tensor(141.3695), cool,tensor(2.1504)
132,,22,blocks.22.hook_resid_pre,tensor(4070.2568),<|endoftext|>,tensor(3.6096)
133,,22,blocks.22.hook_resid_pre,tensor(181.4759),M,tensor(2.2588)
134,,22,blocks.22.hook_resid_pre,tensor(150.7542),ATS,tensor(2.1783)
135,,22,blocks.22.hook_resid_pre,tensor(131.1622), is,tensor(2.1178)
136,,22,blocks.22.hook_resid_pre,tensor(140.5177), really,tensor(2.1477)
137,,22,blocks.22.hook_resid_pre,tensor(147.7247), cool,tensor(2.1695)
138,,23,blocks.23.hook_resid_pre,tensor(4083.1199),<|endoftext|>,tensor(3.6110)
139,,23,blocks.23.hook_resid_pre,tensor(187.2386),M,tensor(2.2724)
140,,23,blocks.23.hook_resid_pre,tensor(158.5866),ATS,tensor(2.2003)
141,,23,blocks.23.hook_resid_pre,tensor(139.3153), is,tensor(2.1440)
142,,23,blocks.23.hook_resid_pre,tensor(149.9654), really,tensor(2.1760)
143,,23,blocks.23.hook_resid_pre,tensor(156.0305), cool,tensor(2.1932)
144,,24,blocks.24.hook_resid_pre,tensor(4092.7639),<|endoftext|>,tensor(3.6120)
145,,24,blocks.24.hook_resid_pre,tensor(193.6275),M,tensor(2.2870)
146,,24,blocks.24.hook_resid_pre,tensor(164.6235),ATS,tensor(2.2165)
147,,24,blocks.24.hook_resid_pre,tensor(145.0726), is,tensor(2.1616)
148,,24,blocks.24.hook_resid_pre,tensor(158.0696), really,tensor(2.1988)
149,,24,blocks.24.hook_resid_pre,tensor(164.0046), cool,tensor(2.2149)
150,,25,blocks.25.hook_resid_pre,tensor(4099.2925),<|endoftext|>,tensor(3.6127)
151,,25,blocks.25.hook_resid_pre,tensor(196.9964),M,tensor(2.2945)
152,,25,blocks.25.hook_resid_pre,tensor(172.0910),ATS,tensor(2.2358)
153,,25,blocks.25.hook_resid_pre,tensor(152.9333), is,tensor(2.1845)
154,,25,blocks.25.hook_resid_pre,tensor(168.0714), really,tensor(2.2255)
155,,25,blocks.25.hook_resid_pre,tensor(172.1067), cool,tensor(2.2358)
156,,26,blocks.26.hook_resid_pre,tensor(4107.2490),<|endoftext|>,tensor(3.6136)
157,,26,blocks.26.hook_resid_pre,tensor(200.8898),M,tensor(2.3030)
158,,26,blocks.26.hook_resid_pre,tensor(178.0057),ATS,tensor(2.2504)
159,,26,blocks.26.hook_resid_pre,tensor(161.4643), is,tensor(2.2081)
160,,26,blocks.26.hook_resid_pre,tensor(177.2815), really,tensor(2.2487)
161,,26,blocks.26.hook_resid_pre,tensor(179.0073), cool,tensor(2.2529)
162,,27,blocks.27.hook_resid_pre,tensor(4115.1157),<|endoftext|>,tensor(3.6144)
